date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,is_holiday
2022-02-17,12207,Thursday,5,2,2022,d_48,,,,,0,0,0,0
2022-02-18,12207,Friday,6,2,2022,d_49,,,,,0,0,0,0
2022-02-19,12207,Saturday,7,2,2022,d_50,,,,,0,0,0,0
2022-02-20,12207,Sunday,1,2,2022,d_51,,,,,0,0,0,0
2022-02-21,12208,Monday,2,2,2022,d_52,,,,,0,0,0,0
2022-02-22,12208,Tuesday,3,2,2022,d_53,,,,,0,0,0,0
2022-02-23,12208,Wednesday,4,2,2022,d_54,,,,,0,0,0,0
2022-02-24,12208,Thursday,5,2,2022,d_55,,,,,0,0,0,0
2022-02-25,12208,Friday,6,2,2022,d_56,,,,,0,0,0,0
2022-02-26,12208,Saturday,7,2,2022,d_57,,,,,0,0,0,0
2022-02-27,12208,Sunday,1,2,2022,d_58,,,,,0,0,0,0
2022-02-28,12209,Monday,2,2,2022,d_59,,,,,0,0,0,0
2022-03-01,12209,Tuesday,3,3,2022,d_60,,,,,1,1,0,0
2022-03-02,12209,Wednesday,4,3,2022,d_61,,,,,1,0,1,0
2022-03-03,12209,Thursday,5,3,2022,d_62,,,,,1,1,1,0
2022-03-04,12209,Friday,6,3,2022,d_63,,,,,0,0,0,0
2022-03-05,12209,Saturday,7,3,2022,d_64,,,,,1,1,1,0
2022-03-06,12209,Sunday,1,3,2022,d_65,,,,,1,1,0,0
2022-03-07,12210,Monday,2,3,2022,d_66,,,,,1,1,0,0
2022-03-08,12210,Tuesday,3,3,2022,d_67,,,,,0,0,1,0
2022-03-09,12210,Wednesday,4,3,2022,d_68,,,,,1,1,1,0
2022-03-10,12210,Thursday,5,3,2022,d_69,,,,,1,1,0,0
2022-03-11,12210,Friday,6,3,2022,d_70,,,,,0,1,1,0
2022-03-12,12210,Saturday,7,3,2022,d_71,,,,,0,0,1,0
2022-03-13,12210,Sunday,1,3,2022,d_72,,,,,0,0,0,0
2022-03-14,12211,Monday,2,3,2022,d_73,,,,,0,0,0,0
2022-03-15,12211,Tuesday,3,3,2022,d_74,,,,,0,0,0,0
2022-03-16,12211,Wednesday,4,3,2022,d_75,,,,,0,0,0,0
2022-03-17,12211,Thursday,5,3,2022,d_76,StPatricksDay,Cultural,,,0,0,0,1
2022-03-18,12211,Friday,6,3,2022,d_77,,,,,0,0,0,0
2022-03-19,12211,Saturday,7,3,2022,d_78,,,,,0,0,0,0
2022-03-20,12211,Sunday,1,3,2022,d_79,,,,,0,0,0,0
2022-03-21,12212,Monday,2,3,2022,d_80,,,,,0,0,0,0
2022-03-22,12212,Tuesday,3,3,2022,d_81,,,,,0,0,0,0
2022-03-23,12212,Wednesday,4,3,2022,d_82,,,,,0,0,0,0
2022-03-24,12212,Thursday,5,3,2022,d_83,,,,,0,0,0,0
2022-03-25,12212,Friday,6,3,2022,d_84,,,,,0,0,0,0
2022-03-26,12212,Saturday,7,3,2022,d_85,,,,,0,0,0,0
2022-03-27,12212,Sunday,1,3,2022,d_86,,,,,0,0,0,0
2022-03-28,12213,Monday,2,3,2022,d_87,,,,,0,0,0,0
2022-03-29,12213,Tuesday,3,3,2022,d_88,,,,,0,0,0,0
2022-03-30,12213,Wednesday,4,3,2022,d_89,,,,,0,0,0,0
2022-03-31,12213,Thursday,5,3,2022,d_90,,,,,0,0,0,0
2022-04-01,12213,Friday,6,4,2022,d_91,,,,,1,1,0,0
2022-04-02,12213,Saturday,7,4,2022,d_92,,,,,1,0,1,0
2022-04-03,12213,Sunday,1,4,2022,d_93,,,,,1,1,1,0
2022-04-04,12214,Monday,2,4,2022,d_94,,,,,0,0,0,0
2022-04-05,12214,Tuesday,3,4,2022,d_95,Easter,Cultural,,,1,1,1,1
2022-04-06,12214,Wednesday,4,4,2022,d_96,,,,,1,1,0,0
2022-04-07,12214,Thursday,5,4,2022,d_97,,,,,1,1,0,0
2022-04-08,12214,Friday,6,4,2022,d_98,,,,,0,0,1,0
2022-04-09,12214,Saturday,7,4,2022,d_99,,,,,1,1,1,0
2022-04-10,12214,Sunday,1,4,2022,d_100,,,,,1,1,0,0
2022-04-11,12215,Monday,2,4,2022,d_101,,,,,0,1,1,0
2022-04-12,12215,Tuesday,3,4,2022,d_102,,,,,0,0,1,0
2022-04-13,12215,Wednesday,4,4,2022,d_103,,,,,0,0,0,0
2022-04-14,12215,Thursday,5,4,2022,d_104,,,,,0,0,0,0
2022-04-15,12215,Friday,6,4,2022,d_105,,,,,0,0,0,0
2022-04-16,12215,Saturday,7,4,2022,d_106,,,,,0,0,0,0
2022-04-17,12215,Sunday,1,4,2022,d_107,,,,,0,0,0,0
2022-04-18,12216,Monday,2,4,2022,d_108,,,,,0,0,0,0
2022-04-19,12216,Tuesday,3,4,2022,d_109,,,,,0,0,0,0
2022-04-20,12216,Wednesday,4,4,2022,d_110,,,,,0,0,0,0
2022-04-21,12216,Thursday,5,4,2022,d_111,,,,,0,0,0,0
2022-04-22,12216,Friday,6,4,2022,d_112,,,,,0,0,0,0
2022-04-23,12216,Saturday,7,4,2022,d_113,,,,,0,0,0,0
2022-04-24,12216,Sunday,1,4,2022,d_114,,,,,0,0,0,0
2022-04-25,12217,Monday,2,4,2022,d_115,,,,,0,0,0,0
2022-04-26,12217,Tuesday,3,4,2022,d_116,,,,,0,0,0,0
2022-04-27,12217,Wednesday,4,4,2022,d_117,,,,,0,0,0,0
2022-04-28,12217,Thursday,5,4,2022,d_118,,,,,0,0,0,0
2022-04-29,12217,Friday,6,4,2022,d_119,,,,,0,0,0,0
2022-04-30,12217,Saturday,7,4,2022,d_120,,,,,0,0,0,0
2022-05-01,12217,Sunday,1,5,2022,d_121,,,,,1,1,0,0
2022-05-02,12218,Monday,2,5,2022,d_122,,,,,1,0,1,0
2022-05-03,12218,Tuesday,3,5,2022,d_123,,,,,1,1,1,0
2022-05-04,12218,Wednesday,4,5,2022,d_124,,,,,0,0,0,0
2022-05-05,12218,Thursday,5,5,2022,d_125,,,,,1,1,1,0
2022-05-06,12218,Friday,6,5,2022,d_126,,,,,1,1,0,0
2022-05-07,12218,Saturday,7,5,2022,d_127,,,,,1,1,0,0
2022-05-08,12218,Sunday,1,5,2022,d_128,,,,,0,0,1,0
2022-05-09,12219,Monday,2,5,2022,d_129,,,,,1,1,1,0
2022-05-10,12219,Tuesday,3,5,2022,d_130,,,,,1,1,0,0
2022-05-11,12219,Wednesday,4,5,2022,d_131,,,,,0,1,1,0
2022-05-12,12219,Thursday,5,5,2022,d_132,,,,,0,0,1,0
2022-05-13,12219,Friday,6,5,2022,d_133,,,,,0,0,0,0
2022-05-14,12219,Saturday,7,5,2022,d_134,,,,,0,0,0,0
2022-05-15,12219,Sunday,1,5,2022,d_135,,,,,0,0,0,0
2022-05-16,12220,Monday,2,5,2022,d_136,,,,,0,0,0,0
2022-05-17,12220,Tuesday,3,5,2022,d_137,,,,,0,0,0,0
2022-05-18,12220,Wednesday,4,5,2022,d_138,,,,,0,0,0,0
2022-05-19,12220,Thursday,5,5,2022,d_139,,,,,0,0,0,0
2022-05-20,12220,Friday,6,5,2022,d_140,,,,,0,0,0,0
2022-05-21,12220,Saturday,7,5,2022,d_141,,,,,0,0,0,0
2022-05-22,12220,Sunday,1,5,2022,d_142,,,,,0,0,0,0
2022-05-23,12221,Monday,2,5,2022,d_143,,,,,0,0,0,0
2022-05-24,12221,Tuesday,3,5,2022,d_144,,,,,0,0,0,0
2022-05-25,12221,Wednesday,4,5,2022,d_145,MemorialDay,National,,,0,0,0,1
2022-05-26,12221,Thursday,5,5,2022,d_146,,,,,0,0,0,0
2022-05-27,12221,Friday,6,5,2022,d_147,,,,,0,0,0,0
2022-05-28,12221,Saturday,7,5,2022,d_148,,,,,0,0,0,0
2022-05-29,12221,Sunday,1,5,2022,d_149,,,,,0,0,0,0
2022-05-30,12222,Monday,2,5,2022,d_150,,,,,0,0,0,0
2022-05-31,12222,Tuesday,3,5,2022,d_151,,,,,0,0,0,0
2022-06-01,12222,Wednesday,4,6,2022,d_152,,,,,1,1,0,0
2022-06-02,12222,Thursday,5,6,2022,d_153,,,,,1,0,1,0
2022-06-03,12222,Friday,6,6,2022,d_154,,,,,1,1,1,0
2022-06-04,12222,Saturday,7,6,2022,d_155,,,,,0,0,0,0
2022-06-05,12222,Sunday,1,6,2022,d_156,,,,,1,1,1,0
2022-06-06,12223,Monday,2,6,2022,d_157,,,,,1,1,0,0
2022-06-07,12223,Tuesday,3,6,2022,d_158,,,,,1,1,0,0
2022-06-08,12223,Wednesday,4,6,2022,d_159,,,,,0,0,1,0
2022-06-09,12223,Thursday,5,6,2022,d_160,,,,,1,1,1,0
2022-06-10,12223,Friday,6,6,2022,d_161,,,,,1,1,0,0
2022-06-11,12223,Saturday,7,6,2022,d_162,,,,,0,1,1,0
2022-06-12,12223,Sunday,1,6,2022,d_163,,,,,0,0,1,0
2022-06-13,12224,Monday,2,6,2022,d_164,,,,,0,0,0,0
2022-06-14,12224,Tuesday,3,6,2022,d_165,,,,,0,0,0,0
2022-06-15,12224,Wednesday,4,6,2022,d_166,,,,,0,0,0,0
2022-06-16,12224,Thursday,5,6,2022,d_167,,,,,0,0,0,0
2022-06-17,12224,Friday,6,6,2022,d_168,,,,,0,0,0,0
2022-06-18,12224,Saturday,7,6,2022,d_169,,,,,0,0,0,0
2022-06-19,12224,Sunday,1,6,2022,d_170,,,,,0,0,0,0
2022-06-20,12225,Monday,2,6,2022,d_171,,,,,0,0,0,0
2022-06-21,12225,Tuesday,3,6,2022,d_172,,,,,0,0,0,0
2022-06-22,12225,Wednesday,4,6,2022,d_173,,,,,0,0,0,0
2022-06-23,12225,Thursday,5,6,2022,d_174,,,,,0,0,0,0
2022-06-24,12225,Friday,6,6,2022,d_175,,,,,0,0,0,0
2022-06-25,12225,Saturday,7,6,2022,d_176,,,,,0,0,0,0
2022-06-26,12225,Sunday,1,6,2022,d_177,,,,,0,0,0,0
2022-06-27,12226,Monday,2,6,2022,d_178,,,,,0,0,0,0
2022-06-28,12226,Tuesday,3,6,2022,d_179,,,,,0,0,0,0
2022-06-29,12226,Wednesday,4,6,2022,d_180,,,,,0,0,0,0
2022-06-30,12226,Thursday,5,6,2022,d_181,,,,,0,0,0,0
2022-07-01,12226,Friday,6,7,2022,d_182,,,,,1,1,0,0
2022-07-02,12226,Saturday,7,7,2022,d_183,,,,,1,0,1,0
2022-07-03,12226,Sunday,1,7,2022,d_184,,,,,1,1,1,0
2022-07-04,12227,Monday,2,7,2022,d_185,IndependenceDay,National,,,0,0,0,1
2022-07-05,12227,Tuesday,3,7,2022,d_186,,,,,1,1,1,0
2022-07-06,12227,Wednesday,4,7,2022,d_187,,,,,1,1,0,0
2022-07-07,12227,Thursday,5,7,2022,d_188,,,,,1,1,0,0
2022-07-08,12227,Friday,6,7,2022,d_189,,,,,0,0,1,0
2022-07-09,12227,Saturday,7,7,2022,d_190,,,,,1,1,1,0
2022-07-10,12227,Sunday,1,7,2022,d_191,,,,,1,1,0,0
2022-07-11,12228,Monday,2,7,2022,d_192,,,,,0,1,1,0
2022-07-12,12228,Tuesday,3,7,2022,d_193,,,,,0,0,1,0
2022-07-13,12228,Wednesday,4,7,2022,d_194,,,,,0,0,0,0
2022-07-14,12228,Thursday,5,7,2022,d_195,,,,,0,0,0,0
2022-07-15,12228,Friday,6,7,2022,d_196,,,,,0,0,0,0
2022-07-16,12228,Saturday,7,7,2022,d_197,,,,,0,0,0,0
2022-07-17,12228,Sunday,1,7,2022,d_198,,,,,0,0,0,0
2022-07-18,12229,Monday,2,7,2022,d_199,,,,,0,0,0,0
2022-07-19,12229,Tuesday,3,7,2022,d_200,,,,,0,0,0,0
2022-07-20,12229,Wednesday,4,7,2022,d_201,,,,,0,0,0,0
2022-07-21,12229,Thursday,5,7,2022,d_202,,,,,0,0,0,0
2022-07-22,12229,Friday,6,7,2022,d_203,,,,,0,0,0,0
2022-07-23,12229,Saturday,7,7,2022,d_204,,,,,0,0,0,0
2022-07-24,12229,Sunday,1,7,2022,d_205,,,,,0,0,0,0
2022-07-25,12230,Monday,2,7,2022,d_206,,,,,0,0,0,0
2022-07-26,12230,Tuesday,3,7,2022,d_207,,,,,0,0,0,0
2022-07-27,12230,Wednesday,4,7,2022,d_208,,,,,0,0,0,0
2022-07-28,12230,Thursday,5,7,2022,d_209,,,,,0,0,0,0
2022-07-29,12230,Friday,6,7,2022,d_210,,,,,0,0,0,0
2022-07-30,12230,Saturday,7,7,2022,d_211,,,,,0,0,0,0
2022-07-31,12230,Sunday,1,7,2022,d_212,,,,,0,0,0,0
2022-08-01,12231,Monday,2,8,2022,d_213,,,,,1,1,0,0
2022-08-02,12231,Tuesday,3,8,2022,d_214,,,,,1,0,1,0
2022-08-03,12231,Wednesday,4,8,2022,d_215,,,,,1,1,1,0
2022-08-04,12231,Thursday,5,8,2022,d_216,,,,,0,0,0,0
2022-08-05,12231,Friday,6,8,2022,d_217,,,,,1,1,1,0
2022-08-06,12231,Saturday,7,8,2022,d_218,,,,,1,1,0,0
2022-08-07,12231,Sunday,1,8,2022,d_219,,,,,1,1,0,0
2022-08-08,12232,Monday,2,8,2022,d_220,,,,,0,0,1,0
2022-08-09,12232,Tuesday,3,8,2022,d_221,,,,,1,1,1,0
2022-08-10,12232,Wednesday,4,8,2022,d_222,,,,,1,1,0,0
2022-08-11,12232,Thursday,5,8,2022,d_223,,,,,0,1,1,0
2022-08-12,12232,Friday,6,8,2022,d_224,,,,,0,0,1,0
2022-08-13,12232,Saturday,7,8,2022,d_225,,,,,0,0,0,0
2022-08-14,12232,Sunday,1,8,2022,d_226,,,,,0,0,0,0
2022-08-15,12233,Monday,2,8,2022,d_227,,,,,0,0,0,0
2022-08-16,12233,Tuesday,3,8,2022,d_228,,,,,0,0,0,0
2022-08-17,12233,Wednesday,4,8,2022,d_229,,,,,0,0,0,0
2022-08-18,12233,Thursday,5,8,2022,d_230,,,,,0,0,0,0
2022-08-19,12233,Friday,6,8,2022,d_231,,,,,0,0,0,0
2022-08-20,12233,Saturday,7,8,2022,d_232,,,,,0,0,0,0
2022-08-21,12233,Sunday,1,8,2022,d_233,,,,,0,0,0,0
2022-08-22,12234,Monday,2,8,2022,d_234,,,,,0,0,0,0
2022-08-23,12234,Tuesday,3,8,2022,d_235,,,,,0,0,0,0
2022-08-24,12234,Wednesday,4,8,2022,d_236,,,,,0,0,0,0
2022-08-25,12234,Thursday,5,8,2022,d_237,,,,,0,0,0,0
2022-08-26,12234,Friday,6,8,2022,d_238,,,,,0,0,0,0
2022-08-27,12234,Saturday,7,8,2022,d_239,,,,,0,0,0,0
2022-08-28,12234,Sunday,1,8,2022,d_240,,,,,0,0,0,0
2022-08-29,12235,Monday,2,8,2022,d_241,,,,,0,0,0,0
2022-08-30,12235,Tuesday,3,8,2022,d_242,,,,,0,0,0,0
2022-08-31,12235,Wednesday,4,8,2022,d_243,,,,,0,0,0,0
2022-09-01,12235,Thursday,5,9,2022,d_244,,,,,1,1,0,0
2022-09-02,12235,Friday,6,9,2022,d_245,,,,,1,0,1,0
2022-09-03,12235,Saturday,7,9,2022,d_246,,,,,1,1,1,0
2022-09-04,12235,Sunday,1,9,2022,d_247,,,,,0,0,0,0
2022-09-05,12236,Monday,2,9,2022,d_248,,,,,1,1,1,0
2022-09-06,12236,Tuesday,3,9,2022,d_249,,,,,1,1,0,0
2022-09-07,12236,Wednesday,4,9,2022,d_250,LaborDay,National,,,1,1,0,1
2022-09-08,12236,Thursday,5,9,2022,d_251,,,,,0,0,1,0
2022-09-09,12236,Friday,6,9,2022,d_252,,,,,1,1,1,0
2022-09-10,12236,Saturday,7,9,2022,d_253,,,,,1,1,0,0
2022-09-11,12236,Sunday,1,9,2022,d_254,,,,,0,1,1,0
2022-09-12,12237,Monday,2,9,2022,d_255,,,,,0,0,1,0
2022-09-13,12237,Tuesday,3,9,2022,d_256,,,,,0,0,0,0
2022-09-14,12237,Wednesday,4,9,2022,d_257,,,,,0,0,0,0
2022-09-15,12237,Thursday,5,9,2022,d_258,,,,,0,0,0,0
2022-09-16,12237,Friday,6,9,2022,d_259,,,,,0,0,0,0
2022-09-17,12237,Saturday,7,9,2022,d_260,,,,,0,0,0,0
2022-09-18,12237,Sunday,1,9,2022,d_261,,,,,0,0,0,0
2022-09-19,12238,Monday,2,9,2022,d_262,,,,,0,0,0,0
2022-09-20,12238,Tuesday,3,9,2022,d_263,,,,,0,0,0,0
2022-09-21,12238,Wednesday,4,9,2022,d_264,,,,,0,0,0,0
2022-09-22,12238,Thursday,5,9,2022,d_265,,,,,0,0,0,0
2022-09-23,12238,Friday,6,9,2022,d_266,,,,,0,0,0,0
2022-09-24,12238,Saturday,7,9,2022,d_267,,,,,0,0,0,0
2022-09-25,12238,Sunday,1,9,2022,d_268,,,,,0,0,0,0
2022-09-26,12239,Monday,2,9,2022,d_269,,,,,0,0,0,0
2022-09-27,12239,Tuesday,3,9,2022,d_270,,,,,0,0,0,0
2022-09-28,12239,Wednesday,4,9,2022,d_271,,,,,0,0,0,0
2022-09-29,12239,Thursday,5,9,2022,d_272,,,,,0,0,0,0
2022-09-30,12239,Friday,6,9,2022,d_273,,,,,0,0,0,0
2022-10-01,12239,Saturday,7,10,2022,d_274,,,,,1,1,0,0
2022-10-02,12239,Sunday,1,10,2022,d_275,,,,,1,0,1,0
2022-10-03,12240,Monday,2,10,2022,d_276,,,,,1,1,1,0
2022-10-04,12240,Tuesday,3,10,2022,d_277,,,,,0,0,0,0
2022-10-05,12240,Wednesday,4,10,2022,d_278,,,,,1,1,1,0
2022-10-06,12240,Thursday,5,10,2022,d_279,,,,,1,1,0,0
2022-10-07,12240,Friday,6,10,2022,d_280,,,,,1,1,0,0
2022-10-08,12240,Saturday,7,10,2022,d_281,,,,,0,0,1,0
2022-10-09,12240,Sunday,1,10,2022,d_282,,,,,1,1,1,0
2022-10-10,12241,Monday,2,10,2022,d_283,,,,,1,1,0,0
2022-10-11,12241,Tuesday,3,10,2022,d_284,,,,,0,1,1,0
2022-10-12,12241,Wednesday,4,10,2022,d_285,,,,,0,0,1,0
2022-10-13,12241,Thursday,5,10,2022,d_286,,,,,0,0,0,0
2022-10-14,12241,Friday,6,10,2022,d_287,,,,,0,0,0,0
2022-10-15,12241,Saturday,7,10,2022,d_288,,,,,0,0,0,0
2022-10-16,12241,Sunday,1,10,2022,d_289,,,,,0,0,0,0
2022-10-17,12242,Monday,2,10,2022,d_290,,,,,0,0,0,0
2022-10-18,12242,Tuesday,3,10,2022,d_291,,,,,0,0,0,0
2022-10-19,12242,Wednesday,4,10,2022,d_292,,,,,0,0,0,0
2022-10-20,12242,Thursday,5,10,2022,d_293,,,,,0,0,0,0
2022-10-21,12242,Friday,6,10,2022,d_294,,,,,0,0,0,0
2022-10-22,12242,Saturday,7,10,2022,d_295,,,,,0,0,0,0
2022-10-23,12242,Sunday,1,10,2022,d_296,,,,,0,0,0,0
2022-10-24,12243,Monday,2,10,2022,d_297,,,,,0,0,0,0
2022-10-25,12243,Tuesday,3,10,2022,d_298,,,,,0,0,0,0
2022-10-26,12243,Wednesday,4,10,2022,d_299,,,,,0,0,0,0
2022-10-27,12243,Thursday,5,10,2022,d_300,,,,,0,0,0,0
2022-10-28,12243,Friday,6,10,2022,d_301,,,,,0,0,0,0
2022-10-29,12243,Saturday,7,10,2022,d_302,,,,,0,0,0,0
2022-10-30,12243,Sunday,1,10,2022,d_303,,,,,0,0,0,0
2022-10-31,12244,Monday,2,10,2022,d_304,Halloween,Cultural,,,0,0,0,1
2022-11-01,12244,Tuesday,3,11,2022,d_305,,,,,1,1,0,0
2022-11-02,12244,Wednesday,4,11,2022,d_306,,,,,1,0,1,0
2022-11-03,12244,Thursday,5,11,2022,d_307,,,,,1,1,1,0
2022-11-04,12244,Friday,6,11,2022,d_308,,,,,0,0,0,0
2022-11-05,12244,Saturday,7,11,2022,d_309,,,,,1,1,1,0
2022-11-06,12244,Sunday,1,11,2022,d_310,,,,,1,1,0,0
2022-11-07,12245,Monday,2,11,2022,d_311,,,,,1,1,0,0
2022-11-08,12245,Tuesday,3,11,2022,d_312,,,,,0,0,1,0
2022-11-09,12245,Wednesday,4,11,2022,d_313,,,,,1,1,1,0
2022-11-10,12245,Thursday,5,11,2022,d_314,,,,,1,1,0,0
2022-11-11,12245,Friday,6,11,2022,d_315,,,,,0,1,1,0
2022-11-12,12245,Saturday,7,11,2022,d_316,,,,,0,0,1,0
2022-11-13,12245,Sunday,1,11,2022,d_317,,,,,0,0,0,0
2022-11-14,12246,Monday,2,11,2022,d_318,,,,,0,0,0,0
2022-11-15,12246,Tuesday,3,11,2022,d_319,,,,,0,0,0,0
2022-11-16,12246,Wednesday,4,11,2022,d_320,,,,,0,0,0,0
2022-11-17,12246,Thursday,5,11,2022,d_321,,,,,0,0,0,0
2022-11-18,12246,Friday,6,11,2022,d_322,,,,,0,0,0,0
2022-11-19,12246,Saturday,7,11,2022,d_323,,,,,0,0,0,0
2022-11-20,12246,Sunday,1,11,2022,d_324,,,,,0,0,0,0
2022-11-21,12247,Monday,2,11,2022,d_325,,,,,0,0,0,0
2022-11-22,12247,Tuesday,3,11,2022,d_326,,,,,0,0,0,0
2022-11-23,12247,Wednesday,4,11,2022,d_327,,,,,0,0,0,0
2022-11-24,12247,Thursday,5,11,2022,d_328,,,,,0,0,0,0
2022-11-25,12247,Friday,6,11,2022,d_329,,,,,0,0,0,0
2022-11-26,12247,Saturday,7,11,2022,d_330,Thanksgiving,National,,,0,0,0,1
2022-11-27,12247,Sunday,1,11,2022,d_331,,,,,0,0,0,0
2022-11-28,12248,Monday,2,11,2022,d_332,,,,,0,0,0,0
2022-11-29,12248,Tuesday,3,11,2022,d_333,,,,,0,0,0,0
2022-11-30,12248,Wednesday,4,11,2022,d_334,,,,,0,0,0,0
2022-12-01,12248,Thursday,5,12,2022,d_335,,,,,1,1,0,0
2022-12-02,12248,Friday,6,12,2022,d_336,,,,,1,0,1,0
2022-12-03,12248,Saturday,7,12,2022,d_337,,,,,1,1,1,0
2022-12-04,12248,Sunday,1,12,2022,d_338,,,,,0,0,0,0
2022-12-05,12249,Monday,2,12,2022,d_339,,,,,1,1,1,0
2022-12-06,12249,Tuesday,3,12,2022,d_340,,,,,1,1,0,0
2022-12-07,12249,Wednesday,4,12,2022,d_341,,,,,1,1,0,0
2022-12-08,12249,Thursday,5,12,2022,d_342,,,,,0,0,1,0
2022-12-09,12249,Friday,6,12,2022,d_343,,,,,1,1,1,0
2022-12-10,12249,Saturday,7,12,2022,d_344,,,,,1,1,0,0
2022-12-11,12249,Sunday,1,12,2022,d_345,,,,,0,1,1,0
2022-12-12,12250,Monday,2,12,2022,d_346,,,,,0,0,1,0
2022-12-13,12250,Tuesday,3,12,2022,d_347,,,,,0,0,0,0
2022-12-14,12250,Wednesday,4,12,2022,d_348,,,,,0,0,0,0
2022-12-15,12250,Thursday,5,12,2022,d_349,,,,,0,0,0,0
2022-12-16,12250,Friday,6,12,2022,d_350,,,,,0,0,0,0
2022-12-17,12250,Saturday,7,12,2022,d_351,,,,,0,0,0,0
2022-12-18,12250,Sunday,1,12,2022,d_352,,,,,0,0,0,0
2022-12-19,12251,Monday,2,12,2022,d_353,,,,,0,0,0,0
2022-12-20,12251,Tuesday,3,12,2022,d_354,,,,,0,0,0,0
2022-12-21,12251,Wednesday,4,12,2022,d_355,,,,,0,0,0,0
2022-12-22,12251,Thursday,5,12,2022,d_356,,,,,0,0,0,0
2022-12-23,12251,Friday,6,12,2022,d_357,,,,,0,0,0,0
2022-12-24,12251,Saturday,7,12,2022,d_358,,,,,0,0,0,0
2022-12-25,12251,Sunday,1,12,2022,d_359,Christmas,National,,,0,0,0,1
2022-12-26,12252,Monday,2,12,2022,d_360,,,,,0,0,0,0
2022-12-27,12252,Tuesday,3,12,2022,d_361,,,,,0,0,0,0
2022-12-28,12252,Wednesday,4,12,2022,d_362,,,,,0,0,0,0
